,date,rating,userName,content,platform
31,2021-12-03,4,g1 j,왕복 똑같이 이용하는데 처음에는 쿠폰 적용이랑 출발위치 핀 조정이 잘됐는데 돌아갈때는 쿠폰 적용이랑 핀조정 안된 상태로 바로 호출이 됐더라고요 호출된 상태에서는 정확한 출발위치와 쿠폰 적용여부를 확인하거나 조정하는 메뉴가 따로 없어 불편했습니다 결국 기사님은 길건너편에 계신걸로 확인이 되어 길을 건너가서 탑승해야 했습니다 출발지가 빌딩명으로 되어 있음에도 이런 경우가 생기더라고요 그래도 서비스는 전반적으로 만족합니다,PlayStore
32,2021-09-14,5,화이팅하며살자,"프리미엄 택시, 누군가와 함께 탈때 고급스러운 느낌을 받고 싶다면 탈만합니다. 프리미엄 택시를 불러서 놀랬다. 너무 비싼거 아니야? 라는 말을 들을 수 있네요. 거리가 멀어서 할인해도 2.5만원씩 두번타긴했는데, 탈만합니다. 다음주 탈일 있는데 또 타려구요. 휴대폰 충전기도 안에있고 차 내부도 고급스럽습니다.",PlayStore
33,2021-10-13,1,나코인리치,오류많아요. 재부팅 여러번해야 시스템 돌아가 기사님 적용 되구요. 할인쿠폰 써도 카카오랑 금액 같아요. 매주 가는 길이라 얼마나ㅈ걸리는지 아는데 거의 두배 걸렸어요. 길 모르시는건지 다른 이유인지 헤메시고 목적지랑도 다른방향 가시길래 알아서 찾아가겠다고 내렸어요. 내부는 쾌적한데 좀 짜증이요,PlayStore
34,2021-10-01,5,김남희,어머니 모시고 병원가는데 접이식 휠체어를 실을 수 있다고 해서 이용해 봤습니다. 너무 편하고 기사님 친절하시고 담에 또 이용하려고 합니다. 단지 택시수가 적은지 집으로 올때 호출은 많이 기다려야 했습니다. 그점만 보완되면 정말 좋겠습니다.,PlayStore
35,2021-12-07,5,seunghee Son,"IM택시 좋다는 얘기는 들었는데, 다리 깁스한 상황에서 차돌려서 와주신 친절한 기사님 덕분에 어플까지깔고 쟈등결제등록까지 했습니다. 한분의 선행이 아이엠택시의 이미지를 바꿔주시네요 2975 기사님 꼭 다시 뵙고싶습니다~~",PlayStore
36,2021-10-12,5,국미경,"앱으로 호출할 수 있어서 불렀는데 빨리 도착한 게 좋았어요 그러면서 내부도 엄청 넓어서 여러 명이서 타도 괜찮을 것 같고, 무료 와이파이가 있어서 집 가는 길이 심심하지 않았어요",PlayStore
37,2021-10-11,5,손재호,저희 동네에서 아이엠 진짜 자주 봐서 주말에 고양이 병원갈 때 처음으로 이용해봤는데 생각보다 훨씬 더 좋았어요!! 카니발 택시라서 그런지 일단 크고 넓고 승차감이 좋구요 반려동물 데리고 이동할 때나 짐 많을 때 진짜 유용할거 같아요!! 차 안에 공기 청정기도 설치되어 있어서 요즘 시국에 더 신경쓴 느낌이라 좋았네요 ㅎㅎ,PlayStore
38,2021-11-16,5,홍리아,요즘 밖에 보면 카니발 택시 다니길래 궁금해서 저도 써봤어요ㅋㅋ 카니발이라 그런지 역시 내부도 넓고 승차감도 굿ㅜㅜ 근데 공기살균기까지 있어서 코로나 걱정도 좀 덜하더라구요ㅋㅋ 기사님도 친절하셔서 앞으로 이거만 쓸까 생각중이에요!,PlayStore
39,2021-11-07,4,Yongjin Lee,벤티에서 갈아타고 너무 만족하면서 타고 있습니다. 쿠폰도 받아가면서요. 지난달 부터인가 원래 잡던 집 출구에서 안되고 근처에 강제 지정됩니다. 저만 그런건지.... 답변 부탁드립니다.,PlayStore
40,2021-10-05,5,NAEUN,아는 유튜버가 이용하는거 보고 타봤는데 진짜 편하고 짐많을때 부르면 딱이에요~ 기사님 운전도 너무 안정적으로 해주시고 친절해서 또 이용하고 싶어요!!,PlayStore
41,2021-10-12,5,파란별이,"호기심에 한 번 이용했는데 또 한 번 이용하고 싶더라고요 카니발 택시라서 그런지 내부가 널찍한 게 짐이 많을 때 이용하기 좋고, 공기 살균기랑 손소독제가 비치되어 있어서 괜찮은 것 같아요",PlayStore
42,2021-09-26,1,Jinwoo Yang,일반 콜택시보다 서비스 수준이 현저하게 떨어지네요. 수서역 주변 정확하게 반경 500미터 안에 버젓이 8대가 있는데도 차량 호출 불가. 주말 피크 타임/지역에서 2만원 이하의 콜은 아예 안잡힌다고 보면 됩니다. 오전에 호출했을 때는 득달같이 달려오는 것보니 가려받기 심한 것 같네요. 예전 타다 서비스보다 한참 떨어지는 서비스 퀄리티.,PlayStore
43,2021-12-03,5,안영희,공항에 가려고 호출했는데 ㅣ번은 실패후 다시 하니 바로 오시더라고요.운전도 세심하고 친절하시고 일단 차량이 커서 좌석이 편하고 타고 내리기 너무 편해서 특히 좋았어요.청결은 말할것도 없고요,PlayStore
44,2021-10-30,5,스윗한남자,이거 진짜 최고이에요!! 편안하고 진짜 좋아요 예약제 까지 있으면 진짜 편리할것같아요 한번 의논해보고 예약제도 한번 이벤트 삼아서 한번해봐요~ 사람들이 진짜 좋아할것같아요~~~,PlayStore
45,2021-11-30,5,Su Jang,비오는날 캐리어 들고 탔는데 옆자리 공간이 넓어서 캐리어 놔둘곳도 있고 앞뒤 간격이 넓어서 편하네요 기사님도 네비에 있는 경로로 이동하겠습니다 라는 안내도 해주고 편안하게 이동했어요 자동결제 완전편해요,PlayStore
46,2021-11-14,3,가림블링,아이엠 택시 여지껏 이용하면서 와이파이 있는 차량을 한번도 못봤어요ㅡㅡ여쭈어보면 모르겠다는 기사님들도 있고 켜준다고 하고 무슨 버튼 눌러도 안켜지더라고요 눈치보여서 그냥 안켜졌는데도 모르는척 했어요 기사님들께 제대로 좀 알려주시고 와이파이좀 상시 켜둘수있게 해주세요 와이파이 켜달라고 말하기도 눈치 보입니다. 택시에 타면 와이파이가 있어야하는데 아예 와이파이 목록에 뜨지도않아요 그리고 충전기 구비 안돼있는 차량도 많네요,PlayStore
